;FECHA;TEXT;Datestamp;TIME;WeekDay;Demora;Sinterrumpido;Snormal;SdemFG;Slimitado;Linea A;StandTime
14;2019-02-03;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 11:12;2019-02-03 14:12:46;1900-01-01 14:12:46;Sunday;False;False;False;False;False;True;14:00:00
15;2019-02-03;#LíneaA - Servicio limitado entre las estaciones Lima y San Pedrito. 09:52;2019-02-03 12:52:45;1900-01-01 12:52:45;Sunday;False;False;False;False;True;True;12:30:00
16;2019-02-01;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 17:54;2019-02-01 20:54:20;1900-01-01 20:54:20;Friday;False;False;False;False;False;True;20:30:00
17;2019-02-01;#LíneaA - Servicio limitado entre las estaciones Perú y San Pedrito. 16:41;2019-02-01 19:41:19;1900-01-01 19:41:19;Friday;False;False;False;False;True;True;19:30:00
18;2019-02-01;@NicolasAlbendin @basubte Hola Nicolas. Te contamos que la #LíneaA opera en Plaza de Mayo en ambos andenes. Gracias… https://t.co/EPx3yNUeK1;2019-02-01 15:55:42;1900-01-01 15:55:42;Friday;False;False;False;False;False;True;15:30:00
19;2019-02-01;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 10:45;2019-02-01 13:45:10;1900-01-01 13:45:10;Friday;False;False;False;False;False;True;13:30:00
20;2019-02-01;#LíneaA - Servicio limitado entre las estaciones San Pedrito y Río de Janeiro. 10:39;2019-02-01 13:39:09;1900-01-01 13:39:09;Friday;False;False;False;False;True;True;13:30:00
21;2019-02-01;#LíneaA - Circula con demora destino a San Pedrito. 10:34;2019-02-01 13:34:08;1900-01-01 13:34:08;Friday;True;False;False;False;False;True;13:30:00
22;2019-01-22;#LíneaA - Ya circula con su frecuencia normal. 19:05;2019-01-22 22:05:40;1900-01-01 22:05:40;Tuesday;False;False;True;False;False;True;22:00:00
23;2019-01-22;#LíneaA - Circula con demora. 18:40;2019-01-22 21:40:38;1900-01-01 21:40:38;Tuesday;True;False;False;False;False;True;21:30:00
24;2019-01-19;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 11:48;2019-01-19 14:48:05;1900-01-01 14:48:05;Saturday;False;False;False;False;False;True;14:30:00
25;2019-01-19;#LíneaA - Servicio limitado entre las estaciones Plaza Miserere y San Pedrito. 06:52;2019-01-19 09:52:04;1900-01-01 09:52:04;Saturday;False;False;False;False;True;True;09:30:00
26;2019-01-17;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 22:14;2019-01-17 01:14:48;1900-01-01 01:14:48;Thursday;False;False;False;False;False;True;01:00:00
27;2019-01-17;#LíneaA - Servicio limitado entre las estaciones Plaza de Mayo y Acoyte. 22:07;2019-01-17 01:07:47;1900-01-01 01:07:47;Thursday;False;False;False;False;True;True;01:00:00
28;2019-01-17;#LíneaA - Servicio limitado entre las estaciones Acoyte y Plaza Miserere. 21:44;2019-01-17 00:44:46;1900-01-01 00:44:46;Thursday;False;False;False;False;True;True;00:30:00
29;2019-01-17;#LíneaA - Servicio con demora. 21:41;2019-01-17 00:41:45;1900-01-01 00:41:45;Thursday;True;False;False;False;False;True;00:30:00
30;2019-01-13;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras. 17:23;2019-01-13 20:23:18;1900-01-01 20:23:18;Sunday;False;False;False;False;False;True;20:15:00
31;2019-01-13;#LíneaA - Servicio limitado entre las estaciones Plaza de Mayo y Loria. 16:19;2019-01-13 19:19:17;1900-01-01 19:19:17;Sunday;False;False;False;False;True;True;19:15:00
32;2019-01-13;#LíneaA - Servicio interrumpido. 16:04;2019-01-13 19:04:16;1900-01-01 19:04:16;Sunday;False;True;False;False;False;True;19:00:00
33;2019-01-11;#LíneaA - Los trenes ya se detienen en todas las estaciones. 21:55;2019-01-11 00:55:58;1900-01-01 00:55:58;Friday;False;False;False;False;False;True;00:30:00
34;2019-01-10;#LíneaA - Los trenes no se detienen en Congreso. 18:22;2019-01-10 21:22:56;1900-01-01 21:22:56;Thursday;False;False;False;False;False;True;21:15:00
35;2019-01-04;#LíneaA - Ya circula con su frecuencia normal. 17:31;2019-01-04 20:31:00;1900-01-01 20:31:00;Friday;False;False;True;False;False;True;20:30:00
36;2019-01-04;#LíneaA - Circula con demora. 17:20;2019-01-04 20:20:59;1900-01-01 20:20:59;Friday;True;False;False;False;False;True;20:15:00
37;2018-12-30;#LíneaA - Los trenes no se detienen en Alberti. 08:19;2018-12-30 11:19:26;1900-01-01 11:19:26;Sunday;False;False;False;False;False;True;11:15:00
38;2018-12-28;#LíneaA - Reanuda su servicio y realiza el recorrido completo entre cabeceras. 08:59;2018-12-28 11:59:53;1900-01-01 11:59:53;Friday;False;False;False;False;False;True;11:30:00
39;2018-12-28;#LíneaA - Servicio interrumpido. 08:52;2018-12-28 11:52:52;1900-01-01 11:52:52;Friday;False;True;False;False;False;True;11:30:00
40;2018-12-20;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 19:11;2018-12-20 22:11:15;1900-01-01 22:11:15;Thursday;False;False;False;False;False;True;22:00:00
41;2018-12-20;#LíneaA - Servicio limitado entre las estaciones Plaza de Mayo y Loria. 16:26;2018-12-20 19:26:55;1900-01-01 19:26:55;Thursday;False;False;False;False;True;True;19:15:00
42;2018-12-20;#LíneaA - Servicio interrumpido. 15:58;2018-12-20 18:58:48;1900-01-01 18:58:48;Thursday;False;True;False;False;False;True;18:30:00
43;2018-12-19;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 08:28;2018-12-19 11:28:25;1900-01-01 11:28:25;Wednesday;False;False;False;False;False;True;11:15:00
44;2018-12-19;#LíneaA - Servicio Limitado entre las estaciones Flores y Plaza de Mayo. 07:54;2018-12-19 10:54:24;1900-01-01 10:54:24;Wednesday;False;False;False;False;False;True;10:30:00
45;2018-12-16;#LíneaA - Servicio limitado entre las estaciones Plaza Miserere y San Pedrito. 19:13;2018-12-16 22:13:42;1900-01-01 22:13:42;Sunday;False;False;False;False;True;True;22:00:00
46;2018-12-15;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 10:50;2018-12-15 13:50:27;1900-01-01 13:50:27;Saturday;False;False;False;False;False;True;13:30:00
47;2018-12-15;#LíneaA - Servicio Limitado entre las estaciones Flores y Plaza de Mayo. 10:32;2018-12-15 13:32:26;1900-01-01 13:32:26;Saturday;False;False;False;False;False;True;13:30:00
48;2018-12-07;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 16:17;2018-12-07 19:17:58;1900-01-01 19:17:58;Friday;False;False;False;False;False;True;19:15:00
49;2018-12-07;#LíneaA - Servicio limitado entre las estaciones Plaza Miserere y San Pedrito. 16:01;2018-12-07 19:01:57;1900-01-01 19:01:57;Friday;False;False;False;False;True;True;19:00:00
50;2018-12-04;#LíneaA - Ya circula con su frecuencia normal. 18:24;2018-12-04 21:24:24;1900-01-01 21:24:24;Tuesday;False;False;True;False;False;True;21:15:00
51;2018-12-04;#LíneaA - Servicio con demora. 18:22;2018-12-04 21:22:23;1900-01-01 21:22:23;Tuesday;True;False;False;False;False;True;21:15:00
52;2018-11-30;#LíneaA - Sin servicio viernes y sábado. 04:00;2018-11-30 07:00:22;1900-01-01 07:00:22;Friday;False;False;False;False;False;True;07:00:00
53;2018-11-29;#LíneaA - Ya realiza su recorrido completo entre cabeceras. 15:20;2018-11-29 18:20:15;1900-01-01 18:20:15;Thursday;False;False;False;False;False;True;18:15:00
54;2018-11-29;#LíneaA - Servicio limitado entre las estaciones Perú y San Pedrito. 15:11;2018-11-29 18:11:14;1900-01-01 18:11:14;Thursday;False;False;False;False;True;True;18:00:00
